"Urgent! Please see the tab ""Endangered Species!"" on many tier 4+ resources.",,,,,,,,,,,,,,,,,,,
Sheet made by Mistro and Pebble in their travels. Japanese Language version available here by HUJAJA 🇯🇵,,,,,,,,,,,,,,,,,Last Updated 7/14/25,,
"If you're looking for a Map, check out LittleDaimon's for current/past world maps.",,,,,,,,,,,,,,,,,Not Updated Yet:,In Progress:,Updated:
Safe Meadows,,,,,,,,,,,,,,,Map Texture,,-Look for T7+ ,-Look for EA patch ,-Added some missing resources
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,Ore Caves,changes in the ,-Added some biome cave info
T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,,Sticks,,,,three woods biomes.,
,,,,,,,,,,,,,,Flint,,,,i.e. No t2 stone,
,,,,,,,,,,,,,,Embergrain,,,, in Pine Forest.,
,,,,,,,,,,,,,,Starbulbs,,,,,
,,,,,,,,,,,,,,Large Ferralith Cave,Description,,,,
,,,,,,,,,,,,,,,"The area surrounding the Ancient City starting locations. Terraforming can't take place within 10 tiles of the outside of this area currently, so settlements, roads, etc. must be outside of this biome.",,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Breezy Grasslands,,,,,,,,,,,,,,,Map Texture,,World Wonders,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,"""Yggdrasil""","A giant tree that appears in any biome. It is speculated that at least three exist in each Region, as three have been found in a single Region. It has a unique resource of ""Traveler's Fruits"" that appear beneath it and respawn (eventually). The fruits grant 20 teleport energy when used.",
T1,,T1,,,,T1,,,T1,,,,T1,Drone,,,,,
T2,,T2,,,T2,,\,,T2,,,,,,,,,,
,,,T3,T3,,,,T3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,T4*,,,,T4,,,,,,,,,Description,,,,
,,,,,T5,,,,,,,,,,"Gently rolling hills with windswept trees. Looks similar to the Safe Meadows, but watch out for Jakyls and Drones! ",,,,
T6,,,T6,T6,,,,,,T7,,,,,,,,,
,,,,,,,,,,T8,,,,,,,,,
,,,,,,,,,,T9,,,,,,,,,
,,,,,,,,,T10,T10,,,,,,,,,
,,"*See EA Spawn Time Data tab, currently none seem to be respawning.",,,,,,,,,,,,,,,,,
Calm Forest,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,T1,,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,Sticks,,,,,
T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,,Jakyl Den,,,,,
,T3,,T3,,,,,T3,,,,,,Large Ferralith Cave,,,,,
T4,,T4*,,,,,,,,,,,,,,,,,
,T5,T5,,,,,,,,,,,,,Description,,,,
,,,,,,,,T6,,,,,,,"Slightly muddy looking forests with some raised land and a few hills, but mostly flat.",,,,
,T7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
T10,,T10,,,,,,,,,,,,,,,,,
